Combustion Inc. Probe Data
App: iOS Prod app 1.8.3
CSV version: 4
Probe S/N: 10007627
Probe FW version: v1.5.3
Probe HW revision: v1.1-A1
Framework: iOS
Sample Period: 5000
Created: 2024-06-09 21:58:10

Timestamp,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds
0.000,3132350871,0,25.85,25.85,25.90,25.95,26.20,26.30,26.20,26.40,25.85,25.95,26.40,25.80,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
5.000,3132350871,1,26.00,25.80,25.80,25.85,26.15,26.30,26.30,26.80,26.00,25.85,26.80,25.90,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
10.000,3132350871,2,14.60,13.05,14.50,14.95,23.75,25.10,25.75,27.05,13.05,14.95,27.05,19.50,0.00,T2,T4,T8,Probe Inserted,None,None,131071
15.000,3132350871,3,12.65,10.60,10.80,11.30,18.05,20.55,22.25,26.35,10.60,11.30,26.35,15.00,0.00,T2,T4,T8,Probe Inserted,None,None,131071
20.000,3132350871,4,11.45,9.75,9.75,10.10,14.50,17.20,19.55,25.50,9.75,10.10,25.50,12.40,0.00,T2,T4,T8,Probe Inserted,None,None,131071
25.000,3132350871,5,10.50,9.20,9.15,9.35,12.35,15.00,17.85,24.85,9.15,15.00,24.85,10.80,0.00,T3,T6,T8,Probe Inserted,None,None,131071
30.000,3132350871,6,9.85,8.85,8.75,8.90,11.05,13.35,16.65,24.30,8.75,13.35,24.30,9.70,0.00,T3,T6,T8,Probe Inserted,None,None,131071
35.000,3132350871,7,9.40,8.55,8.45,8.60,10.30,12.40,15.75,23.85,8.45,12.40,23.85,9.10,0.00,T3,T6,T8,Probe Inserted,None,None,131071
40.000,3132350871,8,9.05,8.35,8.25,8.35,9.65,11.70,15.30,23.50,8.25,11.70,23.50,8.70,0.00,T3,T6,T8,Probe Inserted,None,None,131071
45.000,3132350871,9,8.75,8.20,8.10,8.15,9.35,11.20,14.85,23.20,8.10,11.20,23.20,8.40,0.00,T3,T6,T8,Probe Inserted,None,None,131071
50.000,3132350871,10,8.60,8.05,7.95,8.05,9.15,10.95,14.55,22.90,7.95,10.95,22.90,8.10,0.00,T3,T6,T8,Probe Inserted,None,None,131071
55.000,3132350871,11,8.45,7.95,7.90,7.95,9.00,10.70,14.30,22.70,7.90,10.70,22.70,8.00,0.00,T3,T6,T8,Probe Inserted,None,None,131071
60.000,3132350871,12,8.30,7.85,7.80,7.90,8.85,10.55,14.30,22.50,7.80,10.55,22.50,7.90,0.00,T3,T6,T8,Probe Inserted,None,None,131071
65.000,3132350871,13,8.20,7.85,7.75,7.80,8.80,10.35,14.05,22.25,7.75,10.35,22.25,7.80,0.00,T3,T6,T8,Probe Inserted,None,None,131071
70.000,3132350871,14,8.15,7.75,7.70,7.80,8.75,10.35,14.05,22.10,7.70,10.35,22.10,7.80,0.00,T3,T6,T8,Probe Inserted,None,None,131071
75.000,3132350871,15,8.10,7.75,7.70,7.75,8.55,10.35,13.85,21.80,7.70,10.35,21.80,7.70,0.00,T3,T6,T8,Probe Inserted,None,None,131071
80.000,3132350871,16,8.05,7.70,7.65,7.75,8.55,10.25,13.90,21.70,7.65,10.25,21.70,7.70,0.00,T3,T6,T8,Probe Inserted,None,None,131071
85.000,3132350871,17,8.00,7.70,7.65,7.70,8.65,10.35,13.85,21.60,7.65,10.35,21.60,7.60,0.00,T3,T6,T8,Probe Inserted,None,None,131071
90.000,3132350871,18,8.00,7.65,7.60,7.65,8.50,10.10,13.75,21.35,7.60,10.10,21.35,7.60,0.00,T3,T6,T8,Probe Inserted,None,None,131071
95.000,3132350871,19,7.95,7.65,7.60,7.65,8.55,10.20,13.70,21.25,7.60,10.20,21.25,7.60,0.00,T3,T6,T8,Probe Inserted,None,None,131071
100.000,3132350871,20,7.95,7.60,7.55,7.60,8.55,10.25,13.65,21.20,7.55,10.25,21.20,7.60,0.00,T3,T6,T8,Probe Inserted,None,None,131071
105.000,3132350871,21,7.90,7.60,7.55,7.60,8.50,10.05,13.65,20.95,7.55,10.05,20.95,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
110.000,3132350871,22,7.95,7.60,7.55,7.65,8.50,10.10,13.70,20.90,7.55,10.10,20.90,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
115.000,3132350871,23,7.90,7.60,7.55,7.60,8.50,10.15,13.65,20.80,7.55,10.15,20.80,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
120.000,3132350871,24,7.90,7.60,7.55,7.60,8.45,10.15,13.60,20.75,7.55,10.15,20.75,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
125.000,3132350871,25,7.90,7.60,7.55,7.60,8.45,10.15,13.55,20.55,7.55,10.15,20.55,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
130.000,3132350871,26,7.90,7.60,7.55,7.60,8.50,10.15,13.50,20.45,7.55,10.15,20.45,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
135.000,3132350871,27,7.90,7.60,7.55,7.60,8.40,10.10,13.50,20.35,7.55,10.10,20.35,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
140.000,3132350871,28,7.90,7.60,7.50,7.60,8.50,10.10,13.50,20.20,7.50,10.10,20.20,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
145.000,3132350871,29,7.90,7.60,7.55,7.60,8.55,10.10,13.40,20.15,7.55,10.10,20.15,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
150.000,3132350871,30,7.90,7.60,7.55,7.60,8.55,10.10,13.50,20.10,7.55,10.10,20.10,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
155.000,3132350871,31,7.90,7.60,7.55,7.60,8.60,10.25,13.55,20.05,7.55,10.25,20.05,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
160.000,3132350871,32,7.90,7.60,7.55,7.60,8.45,10.10,13.35,19.85,7.55,10.10,19.85,7.50,0.00,T3,T6,T8,Probe Inserted,None,None,131071
